APOLLO_SV|00000018|-7999585
APOLLO_SV|00000019|-7999580
APOLLO_SV|00000020|-7999579
APOLLO_SV|00000021|-7999578
APOLLO_SV|00000022|-7999577
APOLLO_SV|00000032|-7999798
APOLLO_SV|00000087|-7999584
APOLLO_SV|00000088|-7999583
APOLLO_SV|00000098|-7999576
APOLLO_SV|00000099|-7999575
APOLLO_SV|00000137|-7999582
APOLLO_SV|00000281|-7999574
APOLLO_SV|00000497|-7999581
BFO|0000001|-7993728
BFO|0000002|-7993729
BFO|0000003|-7993727
BFO|0000004|-7993720
BFO|0000007|-7990650
BFO|0000015|-7993766
BFO|0000016|-7993724
BFO|0000017|-7993723
BFO|0000020|-7993722
BFO|0000023|-7993721
BFO|0000031|-7999586
BFO|0000040|-7993749
CARO|0000003|-7993763
CARO|0000006|-7993761
CHEBI|10002|-7998278
CHEBI|100048|-7996232
CHEBI|100113|-7998793
CHEBI|10015|-7995766
CHEBI|100154|-7997114
CHEBI|100230|-7996231
CHEBI|10026|-7996230
CHEBI|10033|-7993917
CHEBI|10034|-7993916
CHEBI|10037|-7999452
CHEBI|10041|-7999451
CHEBI|100462|-7998542
CHEBI|10047|-7994787
CHEBI|10051|-7994786
CHEBI|10052|-7994785
CHEBI|10053|-7994784
CHEBI|10054|-7994783
CHEBI|100587|-7996229
CHEBI|10070|-7997480
CHEBI|100843|-7996228
CHEBI|100882|-7996227
CHEBI|100922|-7998792
CHEBI|10098|-7994782
CHEBI|100987|-7998791
CHEBI|10103|-7998277
CHEBI|101173|-7996226
CHEBI|101257|-7998790
CHEBI|101278|-7999940
CHEBI|101416|-7996225
CHEBI|10144|-7994781
CHEBI|10166|-7994780
CHEBI|10167|-7994779
CHEBI|101682|-7998789
CHEBI|101684|-7998788
CHEBI|101706|-7997251
CHEBI|10174|-7994778
CHEBI|10175|-7994777
CHEBI|10178|-7994776
CHEBI|10179|-7994775
CHEBI|101792|-7998787
CHEBI|101854|-7993915
CHEBI|101855|-7998786
CHEBI|101895|-7996224
CHEBI|102026|-7996223
CHEBI|10211|-7994774
CHEBI|102133|-7998785
CHEBI|102300|-7996222
